"id_pd","nombre_pd","direccion","nombre_institucional","id_provincia","id_departamento","id_localidad","cod_bahra_localidad","id_municipio","provincia","departamento","localidad","municipio","mail_institucional","latitud","longitud","horarios","link_facebook","estado"
"58","Luján","Rodolfo Romero 650","Edificio Municipal","AR-B","1270","1366","06497060000 ","BUE075","Buenos Aires","Lujan","Lujan","Luján","lujan@puntodigital.gob.ar","-34.567939","-59.132041","Lunes 08:00 a 21:00 , Martes 08:00 a 21:00 , Miércoles 08:00 a 21:00 , Jueves 08:00 a 21:00 , Viernes 08:00 a 21:00 ","","Activo"
"59","Mar del Plata I (Polideportivo Las Heras)","Av Fortunato de la plaza 8550","CIC","AR-B","1247","981","06357110003 ","BUE053","Buenos Aires","General Pueyrredon","Mar del Plata","General Pueyrredón","mardelplata1@puntodigital.gob.ar","-38.027572","-57.604543","Lunes 08:00 a 15:00 , Martes 08:00 a 15:00 , Miércoles 08:00 a 15:00 , Jueves 08:00 a 15:00 , Viernes 08:00 a 15:00 ","","Activo"
"60","Marcos Paz I (CIC)","Eva Duarte 15","CIC","AR-B","1275","1449","06525020002 ","BUE080","Buenos Aires","Marcos Paz","Marcos Paz","Marcos Paz","marcospaz1@puntodigital.gob.ar","-34.760222","-58.81865","Lunes 08:00 a 19:00 , Martes 08:00 a 19:00 , Miércoles 08:00 a 19:00 , Jueves 08:00 a 19:00 , Viernes 08:00 a 19:00 ","https://www.facebook.com/PuntoDigitalMarcosPaz","Activo"
"61","Marcos Paz II (UMI)","El Bozal 35","Edificio Municipal","AR-B","1275","1449","06525020002 ","BUE080","Buenos Aires","Marcos Paz","Marcos Paz","Marcos Paz","marcospaz2@puntodigital.gob.ar","-34.744365","-58.806153","Lunes 08:00 a 19:00 , Martes 08:00 a 19:00 , Miércoles 08:00 a 19:00 , Jueves 08:00 a 19:00 , Viernes 08:00 a 19:00 ","https://www.facebook.com/PuntoDigitalMarcosPaz","Activo"
"62","Miramar","Calle 110","CIC","AR-B","1236","814","06280040000 ","BUE042","Buenos Aires","General Alvarado","Miramar","General Alvarado","miramar@puntodigital.gob.ar","-38.238821","-57.870738","Lunes 08:00 a 17:00 , Martes 08:00 a 17:00 , Miércoles 08:00 a 17:00 , Jueves 08:00 a 17:00 , Viernes 08:00 a 16:30 ","","Activo"
"63","Pigüé","Avenida Casey S/N","Edificio municipal","AR-B","1302","1930","06700060000 ","BUE107","Buenos Aires","Saavedra","Pigue","Saavedra","pigue@puntodigital.gob.ar","-37.601243874649825","-62.41016987366991","Lunes 08:30 a 13:30 - 16:00 a 19:00 , Martes 08:30 a 13:30 - 16:00 a 19:00 , Miércoles 08:30 a 13:30 - 16:00 a 20:00 , Jueves 08:30 a 13:30 - 16:00 a 20:00 , Viernes 08:30 a 13:30 - 16:00 a 19:00 ","https://www.facebook.com/Punto-Digital-Pigüé-507868515986947","Activo"
"64","Quilmes I (La Paz)","Calle 892","CIC","AR-B","1296","1806","06658010006 ","BUE101","Buenos Aires","Quilmes","Quilmes","Quilmes","lapazquilmes@puntodigital.gob.ar","-34.748193","-58.32957","Lunes 08:00 a 19:00 , Martes 08:00 a 19:00 , Miércoles 08:00 a 19:00 , Jueves 08:00 a 19:00 , Viernes 08:00 a 19:00 ","https://www.facebook.com/PDQuilmes/?hc_ref=SEARCH&fref=nf","Temporalmente cerrado"
"66","Urdampilleta","Avenida Rivadavia","Estación Terminal de Ómnibus de la Localidad de Urdampilleta","AR-B","1209","364","06105070000 ","BUE015","Buenos Aires","Bolivar","Urdampilleta","Bolívar","urdampilletabolivar@puntodigital.gob.ar","-36.429901","-61.422737","Lunes 08:30 a 12:30 - 15:00 a 17:00 , Martes 08:30 a 12:30 - 15:00 a 17:00 , Miércoles 08:30 a 12:30 , Jueves 08:30 a 12:30 , Viernes 08:30 a 12:30 ","https://www.facebook.com/Punto-Digital-Urdampilleta-1356195624448375/","Activo"
"67","Villa Gesell","Paseo 115","Edificio Municipal","AR-B","1327","2335","06868020000 ","BUE132","Buenos Aires","Villa Gesell","Villa Gesell","Villa Gesell","villagesell@puntodigital.gob.ar","-37.260973","-56.993298","Lunes 09:00 a 18:00 , Martes 09:00 a 18:00 , Miércoles 09:00 a 18:00 , Jueves 09:00 a 18:00 , Viernes 09:00 a 18:00 , Sábado 09:00 a 18:00 - 10:00 a 15:00 ","https://www.facebook.com/Punto-Digital-Villa-Gesell-NAC-1592779114326043/?fref=ts","Activo"
"68","San Antonio de Areco","Alsina 66","Edificio Municipal","AR-B","1307","2008","06735020000 ","BUE112","Buenos Aires","San Antonio de Areco","San Antonio de Areco","San Antonio de Areco","areco@puntodigital.gob.ar","-34.242248","-59.475228","","","Temporalmente cerrado"
"69","General Madariaga","Calle 4","CIC","AR-B","1241","887","06315010002 ","BUE047","Buenos Aires","General Juan Madariaga","General Juan Madariaga","General Juan Madariaga","madariaga@puntodigital.gob.ar","-36.997729","-57.126238","Lunes 08:30 a 22:00 , Martes 08:30 a 22:00 , Miércoles 08:30 a 22:00 , Jueves 08:30 a 22:00 , Viernes 08:30 a 22:00 ","https://www.facebook.com/nacmadariaga/?fref=ts","Activo"
"70","Azul","San Martin 612","Institución Educativa","AR-B","1202","204","06049020000 ","BUE007","Buenos Aires","Azul","Azul","Azul","azul@puntodigital.gob.ar","-36.782008","-59.867986","Lunes 08:00 a 14:00 , Martes 08:00 a 14:00 , Miércoles 08:00 a 14:00 , Jueves 08:00 a 14:00 , Viernes 08:00 a 14:00 ","https://www.facebook.com/Punto-Digital-Azul-1839556029394531/","Activo"
"71","Tandil I","Nigro 1620","Institución Educativa","AR-B","1316","2139","06791050000 ","BUE121","Buenos Aires","Tandil","Tandil","Tandil","tandil@puntodigital.gob.ar","-37.29975","-59.124413","Lunes 09:00 a 20:00 , Martes 09:00 a 20:00 , Miércoles 09:00 a 20:00 , Jueves 09:00 a 20:00 , Viernes 09:00 a 20:00 ","","Activo"
"72","Lobería I","Albarellos","CIC","AR-B","1267","1323","06476030000 ","BUE072","Buenos Aires","Loberia","Loberia","Lobería","loberia@puntodigital.gob.ar","-38.156633","-58.787584","Lunes 07:00 a 12:00 , Martes 07:00 a 12:00 , Miércoles 07:00 a 12:00 , Jueves 07:00 a 12:00 , Viernes 07:00 a 12:00 ","https://www.facebook.com/profile.php?id=100009654451136&fref=ts","Activo"
"73","San Fernando","Hipólito Yrigoyen 6702","ONG","AR-B","1309","2036","06749010001 ","BUE114","Buenos Aires","San Fernando","San Fernando","San Fernando","sanfernando@puntodigital.gob.ar","-34.47699","-58.598747","Lunes 09:00 a 13:00 - 09:00 a 20:00 - 16:00 a 20:00 , Martes 09:00 a 13:00 - 09:00 a 20:00 - 16:00 a 20:00 , Miércoles 09:00 a 13:00 - 16:00 a 20:00 , Jueves 09:00 a 13:00 - 16:00 a 20:00 , Viernes 09:00 a 13:00 - 16:00 a 20:00 ","","Activo"
"74","Morón II (Castelar)","William Morris 3524","Edificio Municipal","AR-B","1281","1497","06568010004 ","BUE086","Buenos Aires","Moron","Moron","Morón","castelar@puntodigital.gob.ar","-34.683557","-58.660551","Lunes 09:00 a 16:00 - 17:00 a 19:00 , Martes 09:00 a 16:00 , Miércoles 09:00 a 16:00 - 17:00 a 19:00 , Jueves 09:00 a 16:00 , Viernes 09:00 a 16:00 - 17:00 a 19:00 ","https://www.facebook.com/PUNTODIGITAL.Castelar.sur.Moron/?fref=ts","Activo"
"76","Roque Pérez","Alem 1243","Edificio Municipal","AR-B","1301","1914","06693020000 ","BUE106","Buenos Aires","Roque Perez","Roque Perez","Roque Pérez","roqueperez@puntodigital.gob.ar","-35.399771","-59.333577","Lunes 09:00 a 12:00 , Martes 09:00 a 12:00 , Miércoles 09:00 a 12:00 , Jueves 09:00 a 12:00 , Viernes 09:00 a 12:00 ","","Activo"
"77","Las Flores I","Avellaneda 705","Espacio de Memoria y DDHH","AR-B","1263","1244","06455030000 ","BUE069","Buenos Aires","Las Flores","Las Flores","Las Flores","lasflores@puntodigital.gob.ar","-36.020889","-59.101628","Lunes 09:30 a 15:30 , Martes 09:30 a 15:30 , Miércoles 09:30 a 15:30 , Jueves 09:30 a 15:30 , Viernes 09:30 a 15:30 ","","Activo"
"78","Zárate II (Lima Centro Cultural)","Calle 7","Edificio Municipal","AR-B","1329","2388","06882040000 ","BUE134","Buenos Aires","Zarate","Lima","Zárate","lima2@puntodigital.gob.ar","-34.046926","-59.193701","Lunes 08:00 a 16:00 , Martes 08:00 a 16:00 , Miércoles 08:00 a 16:00 , Jueves 08:00 a 16:00 , Viernes 08:00 a 16:00 ","https://www.facebook.com/Punto-Digital-Lima-Centro-Cultural-450314608663968/","Activo"
"79","San Andrés de Giles I","Lucas Scully 917","ONG","AR-B","1306","1996","06728040000 ","BUE111","Buenos Aires","San Andres de Giles","San Andres de Giles","San Andrés de Giles","sanandresdegiles@puntodigital.gob.ar","-34.440335","-59.441159","Lunes 09:30 a 20:00 , Martes 09:30 a 20:00 , Miércoles 09:30 a 20:00 , Jueves 09:30 a 20:00 , Viernes 09:30 a 20:00 ","","Activo"
"80","Ezeiza","Avellaneda 51","Edificio Municipal","AR-B","1233","777","06270010004 ","BUE039","Buenos Aires","Ezeiza","Jose Maria Ezeiza","Ezeiza","ezeiza@puntodigital.gob.ar","-34.855064","-58.525677","Jueves 15:00 a 19:00 , Sábado 16:00 a 19:00 ","","Activo"
"81","La Plata I","Diagonal 80 340","Institución Educativa","AR-B","1260","1189","06441030015 ","BUE066","Buenos Aires","La Plata","La Plata","La Plata","laplata@puntodigital.gob.ar","-34.899972","-57.949375","Lunes 08:30 a 19:30 , Martes 08:30 a 19:30 , Miércoles 08:30 a 19:30 , Jueves 08:30 a 19:30 , Viernes 08:30 a 19:30 ","","Activo"
"82","Mar del Plata II (Inareps)","Ruta 88 KM 1,5","Centro de Salud","AR-B","1247","981","06357110003 ","BUE053","Buenos Aires","General Pueyrredon","Mar del Plata","General Pueyrredón","inareps@puntodigital.gob.ar","-34.907862","-57.97273","Lunes 08:00 a 18:00 , Martes 08:00 a 18:00 , Miércoles 08:00 a 18:00 , Jueves 08:00 a 18:00 , Viernes 08:00 a 18:00 ","","Activo"
"83","Punta Indio","Calle 26","Edificio Municipal","AR-B","1295","1799","06655040000 ","BUE100","Buenos Aires","Punta Indio","Punta Indio","Punta Indio","puntaindio@puntodigital.gob.ar","-35.400266","-57.327604","Lunes 08:00 a 18:00 , Martes 08:00 a 18:00 , Miércoles 08:00 a 18:00 , Jueves 08:00 a 18:00 , Viernes 08:00 a 18:00 ","","Activo"
"84","Morón III (Palomar)","Madariaga 687","Secretaría Unidad de Gestión Comunitaria Nº 3","AR-B","1281","1495","06568010002 ","BUE086","Buenos Aires","Moron","El Palomar","Morón","palomar@puntodigital.gob.ar","-34.606446","-58.596717","Lunes 09:00 a 16:00 , Martes 09:00 a 16:00 , Miércoles 09:00 a 16:00 , Jueves 09:00 a 16:00 , Viernes 09:00 a 16:00 ","","Activo"
"85","Balcarce","Avenida Eva Perón 3949","ONG","AR-B","1204","257","06063010000 ","BUE009","Buenos Aires","Balcarce","Balcarce","Balcarce","balcarce@puntodigital.gob.ar","-37.832936","-58.272814","Lunes 09:00 a 12:00 - 13:00 a 16:30 , Martes 09:00 a 12:00 - 13:00 a 16:30 , Miércoles 09:00 a 12:00 - 13:00 a 16:30 , Jueves 09:00 a 12:00 - 13:00 a 16:30 , Viernes 09:00 a 12:00 - 13:00 a 16:30 ","https://www.facebook.com/PDBalcarce","Activo"
"86","Tres Lomas","Saavedra","CIC","AR-B","1324","2288","06847020000 ","BUE129","Buenos Aires","Tres Lomas","Tres Lomas","Tres Lomas","treslomas@puntodigital.gob.ar","-36.455583","-62.853385","Lunes 09:00 a 15:00 - 17:00 a 22:00 , Martes 09:00 a 15:00 - 17:00 a 22:00 , Miércoles 09:00 a 15:00 - 17:00 a 22:00 , Jueves 09:00 a 15:00 - 17:00 a 22:00 , Viernes 09:00 a 15:00 - 17:00 a 22:00 ","https://www.facebook.com/nactreslomas/","Activo"
"88","Pehuajó","Dean Funes 194","Edificio municipal","AR-B","1287","1679","06609080000 ","BUE092","Buenos Aires","Pehuajo","Pehuajo","Pehuajó","pehuajo@puntodigital.gob.ar","-35.800834","-61.897053","Lunes 07:30 a 13:00 , Martes 07:30 a 13:00 , Miércoles 07:30 a 13:00 , Jueves 07:30 a 13:00 , Viernes 07:30 a 13:00 ","","Activo"
"90","La Matanza III (Isidro Casanova)","Concejal Luis Alberto Settino 6578","ONG","AR-B","1259","1153","06427010005 ","BUE065","Buenos Aires","La Matanza","Isidro Casanova","La Matanza","casanova@puntodigital.gob.ar","-34.728382","-58.568295","","","Temporalmente cerrado"
"91","Pinamar II (Valeria del Mar)","Sebastian El Cano 2698","CIC","AR-B","1292","1762","06644010004 ","BUE097","Buenos Aires","Pinamar","Valeria del Mar","Pinamar","valeriadelmar@puntodigital.gob.ar","-37.136657","-56.909694","Lunes 07:00 a 21:00 , Martes 07:00 a 21:00 , Miércoles 07:00 a 21:00 , Jueves 07:00 a 21:00 , Viernes 07:00 a 21:00 ","","Activo"
"92","La Plata II (JUS)","Calle 13 129","CAJ","AR-B","1260","1189","06441030015 ","BUE066","Buenos Aires","La Plata","La Plata","La Plata","laplatajus@puntodigital.gob.ar","-34.907862","-57.97273","","https://www.facebook.com/Punto-Digital-La-Plata-Justicia-917175938360684/?notif_t=page_name_change&notif_id=1497375953174205","Activo"
"94","La Plata III (CIE)","Calle 122 s/n","ONG","AR-B","1260","1189","06441030015 ","BUE066","Buenos Aires","La Plata","La Plata","La Plata","laplatacie@puntodigital.gob.ar","-34.897344","-57.940385","Lunes 11:00 a 18:00 , Martes 11:00 a 18:00 , Miércoles 11:00 a 18:00 , Jueves 11:00 a 18:00 , Viernes 11:00 a 18:00 ","","Activo"
"96","Floresta","Ramón Falcón 4250","Espacio de Memoria y DDHH","AR-C","1711","25","02010010001 ","CAB000","Ciudad Autónoma de Buenos Aires","Comuna 10","Floresta","Ciudad Autónoma de Buenos Aires","exolimpo@puntodigital.gob.ar","-34.636555","-58.486858","Lunes 09:00 a 17:00 , Martes 13:00 a 17:00 , Miércoles 13:00 a 17:00 , Jueves 13:00 a 17:00 , Viernes 13:00 a 17:00 ","https://www.facebook.com/nac.exolimpo/","Activo"
"97","Villa 21","Avenida Iriarte 3500","Institución Educativa","AR-C","1705","10","02004010001 ","CAB000","Ciudad Autónoma de Buenos Aires","Comuna 4","Barracas","Ciudad Autónoma de Buenos Aires","barracas@puntodigital.gob.ar","-34.651658","-58.397334","Lunes 15:00 a 20:00 , Martes 15:00 a 20:00 , Miércoles 15:00 a 20:00 , Jueves 15:00 a 20:00 , Viernes 15:00 a 20:00 ","","Activo"
"98","Hospital Garrahan","Combate de los Pozos 1881","Centro de Salud","AR-C","1705","13","02004010004 ","CAB000","Ciudad Autónoma de Buenos Aires","Comuna 4","Parque Patricios","Ciudad Autónoma de Buenos Aires","garrahan@puntodigital.gob.ar","-34.630696","-58.392664","Lunes 08:00 a 18:00 , Martes 08:00 a 18:00 , Miércoles 08:00 a 18:00 , Jueves 08:00 a 18:00 , Viernes 08:00 a 18:00 ","","Activo"
"99","Espacio de Memoria (Ex Esma)","Avenida del Libertador 8151","Espacio de Memoria y DDHH","AR-C","1714","41","02013010003 ","CAB000","Ciudad Autónoma de Buenos Aires","Comuna 13","Nuñez","Ciudad Autónoma de Buenos Aires","casadelamilitancia@puntodigital.gob.ar","-34.540283","-58.46409","Lunes 10:30 a 15:00 , Martes 10:30 a 15:00 , Miércoles 10:30 a 15:00 , Jueves 10:30 a 15:00 , Viernes 10:30 a 15:00 ","https://www.facebook.com/pdcasadelamilitancia/","Activo"
"101","Constitución","Pedro Echagüe 1265","ONG","AR-C","1702","1","02001010001 ","CAB000","Ciudad Autónoma de Buenos Aires","Comuna 1","Constitucion","Ciudad Autónoma de Buenos Aires","constitucioncaba@puntodigital.gob.ar","-34.629774","-58.383584","Lunes 08:00 a 20:00 , Martes 08:00 a 20:00 , Miércoles 08:00 a 20:00 , Jueves 08:00 a 20:00 , Viernes 08:00 a 20:00 ","","Temporalmente cerrado"
"106","Villa Devoto","Avenida Chivilcoy 3301","Casa del Futuro","AR-C","1712","32","02011010002 ","CAB000","Ciudad Autónoma de Buenos Aires","Comuna 11","Villa Devoto","Ciudad Autónoma de Buenos Aires","devoto@puntodigital.gob.ar","-34.6036531","-58.5086876","Lunes 09:00 a 19:00 , Martes 09:00 a 19:00 , Miércoles 09:00 a 19:00 , Jueves 09:00 a 19:00 , Viernes 09:00 a 19:00 ","","Activo"
"107","Esquel","Pasaje Tecka","Edificio Municipal","AR-U","1371","5765","26035030000 ","CHU018","Chubut","Futaleufu","Esquel","Esquel","esquel@puntodigital.gob.ar","-42.907988","-71.326257","Lunes 07:00 a 18:00 , Martes 07:00 a 18:00 , Miércoles 07:00 a 18:00 , Jueves 07:00 a 18:00 , Viernes 07:00 a 18:00 ","https://www.facebook.com/nac.esquel","Activo"
"108","Los Altares","Ruta Nacional 25","Edificio Municipal","AR-U","1379","5805","26070020000 ","CHU030","Chubut","Paso de Indios","Los Altares","Los Altares","losaltares@puntodigital.gob.ar","-43.88537","-68.412509","Lunes 08:30 a 14:30 , Martes 08:30 a 14:30 , Miércoles 08:30 a 14:30 , Jueves 08:30 a 14:30 , Viernes 08:30 a 14:30 ","https://www.facebook.com/PDLosAltares/","Activo"
"109","Rawson (Chubut)","Ernesto Echave 607","Edificio Municipal","AR-U","1381","5812","26077030000 ","CHU036","Chubut","Rawson","Rawson","Rawson","rawsonchubut@puntodigital.gob.ar","-43.2934317","-65.0828048","Lunes 08:00 a 18:00 , Martes 08:00 a 18:00 , Miércoles 08:00 a 18:00 , Jueves 08:00 a 18:00 , Viernes 08:00 a 18:00 ","https://www.facebook.com/Punto-Digital-Rawson-Chubut-1429954877217632","Activo"
"110","Río Mayo","Hipólito Irigoyen 552","Biblioteca popular","AR-U","1367","5825","26084070000 ","CHU037","Chubut","Rio Senguer","Rio Mayo","Río Mayo","riomayo@puntodigital.gob.ar","-45.68573","-70.25797","Lunes 08:00 a 17:30 - 09:00 a 13:00 , Martes 08:00 a 17:30 , Miércoles 08:00 a 17:30 , Jueves 08:00 a 17:30 , Viernes 08:00 a 17:30 ","https://www.facebook.com/nacmicrocinenacriomayo/?fref=ts","Activo"
"111","El Hoyo","Los guindos s/n","Edificio Municipal","AR-U","1372","5715","26014040000 ","CHU015","Chubut","Cushamen","El Hoyo","El Hoyo","elhoyo@puntodigital.gob.ar","-42.063402","-71.519397","Lunes 10:00 a 15:30 , Martes 10:00 a 15:30 , Miércoles 10:00 a 15:30 , Jueves 10:00 a 15:30 , Viernes 10:00 a 15:30 ","https://www.facebook.com/Punto-Digital-El-Hoyo-1444151862563286/?fref=ts","Activo"
"113","Trevelin","Roggero 290","Edificio Municipal","AR-U","1371","5768","26035060000 ","CHU043","Chubut","Futaleufu","Trevelin","Trevelin","trevelin@puntodigital.gob.ar","-43.101628","-71.469948","Lunes 08:00 a 13:00 - 14:00 a 19:30 , Martes 08:00 a 13:00 - 14:00 a 19:30 , Miércoles 08:00 a 13:00 - 14:00 a 19:30 , Jueves 08:00 a 13:00 - 14:00 a 19:30 , Viernes 08:00 a 13:00 - 14:00 a 19:30 ","https://www.facebook.com/Punto-Digital-Trevelin-ex-NAC-154191594924843","Activo"
"114","Comodoro Rivadavia I","Las rosas 865","ONG","AR-U","1373","5747","26021030018 ","CHU009","Chubut","Escalante","Comodoro Rivadavia","Comodoro Rivadavia","comodororivadavia@puntodigital.gob.ar","-45.861154","-67.525409","Lunes 15:00 a 20:00 , Martes 15:00 a 20:00 , Miércoles 15:00 a 20:00 , Jueves 15:00 a 20:00 , Viernes 15:00 a 20:00 ","","Activo"
"115","Gaiman","Chubut 504","Edificio Municipal","AR-U","1374","5775","26042030000 ","CHU020","Chubut","Gaiman","Gaiman","Gaiman","gaiman@puntodigital.gob.ar","-43.299725","-65.502537","Lunes 07:00 a 13:00 , Martes 07:00 a 13:00 , Miércoles 07:00 a 13:00 , Jueves 07:00 a 13:00 , Viernes 07:00 a 13:00 ","https://www.facebook.com/puntodigitalgaiman/?fref=ts","Activo"
"116","Gan Gan","San Martin","Edificio Municipal","AR-U","1375","5843","26105010000 ","CHU021","Chubut","Telsen","Gan Gan","Gan Gan","gangan@puntodigital.gob.ar","-42.52189","-68.285673","","","Próximamente"
